Month,North America,Europe,Asia,South America,Africa,Oceania
January,15000,12000,18000,8000,5000,2000
February,16000,13000,19000,8500,5500,2500
March,17000,14000,20000,9000,6000,3000
April,18000,15000,21000,9500,6500,3500
May,19000,16000,22000,10000,7000,4000
June,20000,17000,23000,10500,7500,4500
July,21000,18000,24000,11000,8000,5000
August,22000,19000,25000,11500,8500,5500
September,23000,20000,26000,12000,9000,6000
October,24000,21000,27000,12500,9500,6500
November,25000,22000,28000,13000,10000,7000
December,26000,23000,29000,13500,10500,7500
